2026-03-29 12:17:00,379 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:00,438 | INFO     | qushield.scanner | Testing connectivity to digihome.pnb.bank.in:443
2026-03-29 12:17:05,448 | INFO     | qushield.scanner | scan completed
2026-03-29 12:17:05,449 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:05,454 | INFO     | qushield.scanner | Testing connectivity to digikccreview.pnb.bank.in:443
2026-03-29 12:17:10,465 | INFO     | qushield.scanner | scan completed
2026-03-29 12:17:10,467 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:10,479 | ERROR    | qushield.scanner | Scan failed for digikisanvaahan.pnb.bank.in:443: Could not resolve digikisanvaahan.pnb.bank.in
2026-03-29 12:17:10,479 | INFO     | qushield.scanner | scan completed
2026-03-29 12:17:10,480 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:10,490 | ERROR    | qushield.scanner | Scan failed for digilocker.pnb.bank.in:443: Could not resolve digilocker.pnb.bank.in
2026-03-29 12:17:10,491 | INFO     | qushield.scanner | scan completed
2026-03-29 12:17:10,492 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:10,558 | INFO     | qushield.scanner | Testing connectivity to digimsme.pnb.bank.in:443
2026-03-29 12:17:15,568 | INFO     | qushield.scanner | scan completed
2026-03-29 12:17:15,569 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:17:15,576 | INFO     | qushield.scanner | Testing connectivity to diginri.pnb.bank.in:443
2026-03-29 12:18:31,001 | INFO     | qushield.scanner | Scan completed for ams.pnb.bank.in:443
2026-03-29 12:18:31,006 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,022 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,034 | ERROR    | qushield.scanner | Scan failed for digirenewal.pnb.bank.in:443: Could not resolve digirenewal.pnb.bank.in
2026-03-29 12:18:31,038 | INFO     | qushield.scanner | scan completed
